bin_center,count,normal_pdf_scaled
-0.756336,1,0.000000
-0.731440,1,0.000000
-0.706544,0,0.000000
-0.681648,0,0.000000
-0.656752,0,0.000000
-0.631855,0,0.000000
-0.606959,0,0.000000
-0.582063,0,0.000000
-0.557167,0,0.000000
-0.532271,1,0.000000
-0.507374,0,0.000000
-0.482478,0,0.000000
-0.457582,0,0.000000
-0.432686,1,0.000000
-0.407790,1,0.000000
-0.382893,3,0.000000
-0.357997,1,0.000000
-0.333101,1,0.000000
-0.308205,0,0.000000
-0.283309,1,0.000000
-0.258412,4,0.000001
-0.233516,5,0.000056
-0.208620,10,0.002016
-0.183724,18,0.048644
-0.158828,16,0.783454
-0.133931,33,8.423371
-0.109035,59,60.456674
-0.084139,96,289.659953
-0.059243,293,926.442615
-0.034347,1104,1978.037200
-0.009450,4950,2819.267263
0.015446,3632,2682.402247
0.040342,720,1703.716866
0.065238,233,722.365180
0.090135,113,204.457030
0.115031,57,38.630751
0.139927,33,4.872481
0.164823,17,0.410254
0.189719,6,0.023059
0.214616,9,0.000865
0.239512,9,0.000022
0.264408,4,0.000000
0.289304,2,0.000000
0.314200,1,0.000000
0.339097,0,0.000000
0.363993,0,0.000000
0.388889,0,0.000000
0.413785,1,0.000000
0.438681,1,0.000000
0.463578,0,0.000000
0.488474,0,0.000000
0.513370,2,0.000000
0.538266,0,0.000000
0.563162,0,0.000000
0.588059,0,0.000000
0.612955,0,0.000000
0.637851,0,0.000000
0.662747,0,0.000000
0.687643,0,0.000000
0.712540,1,0.000000
