bin_center,count,normal_pdf_scaled
-168.066667,1,0.000000
-162.200000,0,0.000000
-156.333333,0,0.000000
-150.466667,0,0.000000
-144.600000,0,0.000000
-138.733333,0,0.000000
-132.866667,0,0.000000
-127.000000,0,0.000000
-121.133333,0,0.000000
-115.266667,0,0.000000
-109.400000,1,0.000000
-103.533333,0,0.000000
-97.666667,2,0.000001
-91.800000,0,0.000012
-85.933333,1,0.000126
-80.066667,5,0.001106
-74.200000,5,0.008330
-68.333333,9,0.053815
-62.466667,11,0.298144
-56.600000,15,1.416467
-50.733333,20,5.770949
-44.866667,46,20.162686
-39.000000,51,60.410130
-33.133333,109,155.214171
-27.266667,204,341.989834
-21.400000,348,646.182585
-15.533333,792,1047.026152
-9.666667,1493,1454.856090
-3.800000,2458,1733.575537
2.066667,2157,1771.437076
7.933333,1703,1552.275909
13.800000,969,1166.466662
19.666667,467,751.685152
25.533333,232,415.393636
31.400000,150,196.853859
37.266667,67,79.999681
43.133333,43,27.880002
49.000000,25,8.332160
54.866667,16,2.135416
60.733333,11,0.469319
66.600000,7,0.088453
72.466667,6,0.014296
78.333333,5,0.001981
84.200000,4,0.000236
90.066667,0,0.000024
95.933333,0,0.000002
101.800000,3,0.000000
107.666667,0,0.000000
113.533333,0,0.000000
119.400000,1,0.000000
125.266667,0,0.000000
131.133333,0,0.000000
137.000000,0,0.000000
142.866667,2,0.000000
148.733333,0,0.000000
154.600000,0,0.000000
160.466667,0,0.000000
166.333333,0,0.000000
172.200000,0,0.000000
178.066667,1,0.000000
