bin_center,count,normal_pdf_scaled
-3.888454,1,0.000000
-3.762875,1,0.000000
-3.637295,0,0.000000
-3.511716,0,0.000000
-3.386137,0,0.000000
-3.260557,0,0.000000
-3.134978,0,0.000000
-3.009398,0,0.000000
-2.883819,2,0.000000
-2.758240,0,0.000000
-2.632660,0,0.000000
-2.507081,0,0.000000
-2.381501,0,0.000000
-2.255922,0,0.000000
-2.130343,0,0.000000
-2.004763,0,0.000000
-1.879184,0,0.000000
-1.753605,2,0.000000
-1.628025,1,0.000000
-1.502446,0,0.000000
-1.376866,4,0.000000
-1.251287,1,0.000000
-1.125708,1,0.000000
-1.000128,3,0.000000
-0.874549,3,0.000000
-0.748970,2,0.000001
-0.623390,11,0.001000
-0.497811,8,0.308538
-0.372231,27,26.371024
-0.246652,105,624.142986
-0.121073,644,4090.532869
0.004507,14947,7423.596728
0.130086,523,3730.676137
0.255665,86,519.157843
0.381245,27,20.005526
0.506824,8,0.213471
0.632404,5,0.000631
0.757983,4,0.000001
0.883562,2,0.000000
1.009142,2,0.000000
1.134721,3,0.000000
1.260300,1,0.000000
1.385880,1,0.000000
1.511459,3,0.000000
1.637039,0,0.000000
1.762618,1,0.000000
1.888197,0,0.000000
2.013777,0,0.000000
2.139356,0,0.000000
2.264935,0,0.000000
2.390515,1,0.000000
2.516094,0,0.000000
2.641674,0,0.000000
2.767253,0,0.000000
2.892832,2,0.000000
3.018412,0,0.000000
3.143991,1,0.000000
3.269570,0,0.000000
3.395150,0,0.000000
3.520729,2,0.000000
