bin_center,count,normal_pdf_scaled
-4.245203,1,0.000000
-4.100633,0,0.000000
-3.956063,0,0.000000
-3.811493,0,0.000000
-3.666923,1,0.000000
-3.522353,2,0.000000
-3.377783,0,0.000000
-3.233213,0,0.000000
-3.088644,2,0.000000
-2.944074,5,0.000000
-2.799504,2,0.000000
-2.654934,6,0.000000
-2.510364,2,0.000000
-2.365794,5,0.000000
-2.221224,4,0.000000
-2.076654,2,0.000000
-1.932084,5,0.000000
-1.787514,5,0.000000
-1.642944,5,0.000003
-1.498374,1,0.000095
-1.353804,13,0.002251
-1.209234,6,0.038592
-1.064664,18,0.480238
-0.920094,10,4.336909
-0.775524,16,28.423022
-0.630954,39,135.184227
-0.486384,43,466.603089
-0.341815,82,1168.786043
-0.197245,264,2124.654131
-0.052675,9611,2802.897947
0.091895,2090,2683.441594
0.236465,173,1864.416024
0.381035,88,940.068120
0.525605,29,343.986692
0.670175,31,91.346051
0.814745,19,17.603691
0.959315,11,2.461974
1.103885,15,0.249879
1.248455,7,0.018405
1.393025,17,0.000984
1.537595,5,0.000038
1.682165,2,0.000001
1.826735,6,0.000000
1.971305,5,0.000000
2.115875,4,0.000000
2.260445,6,0.000000
2.405015,2,0.000000
2.549584,1,0.000000
2.694154,4,0.000000
2.838724,1,0.000000
2.983294,2,0.000000
3.127864,1,0.000000
3.272434,0,0.000000
3.417004,2,0.000000
3.561574,2,0.000000
3.706144,0,0.000000
3.850714,0,0.000000
3.995284,0,0.000000
4.139854,0,0.000000
4.284424,2,0.000000
