date,delta,sigma_distance,direction,macro_tag
1980-04-16,-0.050055131296299966,-3.648742855118479,down,
1987-10-20,-0.07703909296258064,-5.617030460184475,down,Black Monday Era
2001-10-31,-0.06530509840776667,-4.761119222028035,down,
2008-09-15,-0.047402238894583906,-3.455233269815573,down,GFC
2008-09-19,0.05177626952372016,3.7791317660871893,up,GFC
2008-09-29,-0.05419465038800164,-3.9506912576509343,down,GFC
2008-09-30,0.04266049714271504,3.1142011673102012,up,GFC
2008-11-19,-0.04445176257083381,-3.2400170592049964,down,GFC
2008-11-20,-0.08426034361773985,-6.143769207200479,down,GFC
2008-12-01,-0.06899287148695143,-5.030115973944037,down,GFC
2008-12-17,-0.07249550203815347,-5.2856078985294275,down,GFC
2008-12-18,-0.050106820054178984,-3.652513181459465,down,GFC
2008-12-31,0.04175179468022154,3.047917801815581,up,GFC
2009-01-05,0.05833557701296342,4.257586478874128,up,
2009-01-21,0.058840500022933395,4.294417012297187,up,
2009-01-28,0.05374427600669083,3.922683806926366,up,
2009-02-03,0.04782908768988144,3.491212995130928,up,
2009-02-10,-0.041499730906752734,-3.0246873976070145,down,
2009-02-13,0.05875815822207169,4.28841076503004,up,
2009-03-05,-0.05001042057466142,-3.6454815267671026,down,
2009-03-18,-0.07029920740100692,-5.125403864561708,down,
2009-05-29,-0.045052663940943136,-3.2838485296644038,down,
2009-06-01,0.04725288485054551,3.4491831063883134,up,
2010-05-06,-0.046628493153033454,-3.3987940348581116,down,
2010-08-27,0.044328587107230547,3.235876436564443,up,
2011-08-04,-0.0500763379801762,-3.6502897315013607,down,
2011-08-11,0.07612369547280068,5.55510288936083,up,
2011-08-24,0.045078054317991514,3.290544725809294,up,
2011-09-02,-0.05565125454937726,-4.0569401454821765,down,
2011-09-21,-0.05458819028440318,-3.9793971871125096,down,
2011-09-22,-0.08611169181873207,-6.2788118581551675,down,
2011-09-30,-0.0438518825288494,-3.196260087350124,down,
2011-10-03,-0.04948005726336981,-3.606795304754658,down,
2011-10-25,-0.04375698035710022,-3.189337650583503,down,
2011-10-27,0.06899287148695142,5.034960123119309,up,
2011-10-31,-0.06136894637629201,-4.474004996510578,down,
2011-11-01,-0.055298640196225636,-4.031219442597247,down,
2011-12-20,0.0489608271957017,3.5737653226586215,up,
2011-12-28,-0.04370443423472918,-3.1855047856159238,down,
2012-03-14,0.050833065799232406,3.710331779527721,up,
2012-05-30,-0.04668711397265313,-3.403070005676748,down,
2012-06-01,-0.053859169672729315,-3.9262203314846578,down,
2012-07-27,0.05470113571305676,3.992479899995258,up,
2012-09-14,0.04636592055792556,3.3844853853905272,up,
2013-05-03,0.04845238338594675,3.5366779719949206,up,
2015-01-28,-0.0469169197877516,-3.419832701348512,down,
2015-02-03,0.051959738930711166,3.792514551170985,up,
2015-03-06,0.04332807676353679,3.162896340736128,up,
2015-05-11,0.04385188252884941,3.201104236525399,up,
2015-06-29,-0.0504839054319921,-3.6800188711124653,down,
2015-12-03,0.053524480415704456,3.906651285729627,up,
2016-02-08,-0.04580953603129422,-3.339056952077782,down,
2016-06-24,-0.052325819001739673,-3.814373332987771,down,
2016-06-27,-0.05959209720224566,-4.344396518385681,down,
2016-07-12,0.04567003683318848,3.3337256293952198,up,
2016-11-09,0.09080644795818141,6.626104993597448,up,
2019-08-12,-0.05455898425043425,-3.977266815176575,down,
2019-08-14,-0.05743204908587552,-4.186836409667089,down,
2019-08-23,-0.04359043607486161,-3.1771894326724732,down,
2019-09-05,0.0446724400515926,3.26095805714794,up,
2019-09-09,0.04359043607486177,3.182033581847759,up,
2019-09-13,0.06538275926285171,4.771628176851684,up,
2019-09-25,0.04216081082427812,3.0777526131963153,up,
2019-11-07,0.0425596144187959,3.106842491904749,up,
2019-12-03,-0.04944827541398114,-3.604477045449688,down,
2020-01-10,-0.042925044717034,-3.1286538774294224,down,
2020-01-27,-0.042966035883443485,-3.13164389074766,down,
2020-02-28,-0.08144033194017442,-5.938069462302403,down,
2020-03-05,-0.06813780516721803,-4.967744982632418,down,COVID Shock
2020-03-06,-0.221542269947236,-16.157506898341172,down,COVID Shock
2020-03-09,-0.23319388716771114,-17.007409297316666,down,COVID Shock
2020-03-10,0.2569104137850273,18.742204961892067,up,COVID Shock
2020-03-12,0.13641185548987667,9.952694301674828,up,COVID Shock
2020-03-13,0.04590970130407795,3.3512074437136823,up,COVID Shock
2020-03-16,-0.1520162072986256,-11.086076356275626,down,COVID Shock
2020-03-17,0.19591040085585085,14.29268895522659,up,COVID Shock
2020-03-18,0.08239953176706696,6.012880399653679,up,COVID Shock
2020-03-20,-0.1383584333728385,-10.089839129756262,down,COVID Shock
2020-03-23,-0.1530759886974929,-11.163379852969983,down,COVID Shock
2020-03-24,0.04412480490893789,3.221011978187534,up,COVID Shock
2020-03-25,0.0422598092898826,3.084973845392674,up,COVID Shock
2020-03-27,-0.09601465323958848,-7.00116228464853,down,COVID Shock
