theoretical_quantile,sample_quantile
-3.923112,-19.628950
-3.650002,-18.367812
-3.516630,-13.547699
-3.426289,-10.944175
-3.357428,-10.719109
-3.301545,-9.721178
-3.254389,-9.721178
-3.213520,-9.481371
-3.177401,-9.346623
-3.145005,-8.209808
-3.115607,-7.344142
-3.088678,-6.653973
-3.063818,-6.356737
-3.040719,-6.353753
-3.019136,-6.283201
-2.998874,-6.201825
-2.979774,-6.113316
-2.961702,-6.034383
-2.944548,-5.696171
-2.928220,-5.656551
-2.912636,-5.622050
-2.897730,-5.530897
-2.883441,-5.491072
-2.869717,-5.451818
-2.856514,-5.374975
-2.843790,-5.328759
-2.831511,-5.313462
-2.819644,-5.305542
-2.808162,-5.242327
-2.797038,-5.122333
-2.786250,-4.979080
-2.775777,-4.955983
-2.765600,-4.926894
-2.755701,-4.925310
-2.746066,-4.918404
-2.736678,-4.881783
-2.727526,-4.762683
-2.718597,-4.750333
-2.709879,-4.705958
-2.701363,-4.680545
-2.693038,-4.583931
-2.684896,-4.572859
-2.676928,-4.561108
-2.669126,-4.505036
-2.661483,-4.504029
-2.653993,-4.489582
-2.646649,-4.480462
-2.639445,-4.465344
-2.632375,-4.309057
-2.625434,-4.279527
-2.618618,-4.224629
-2.611921,-4.193696
-2.605340,-4.164295
-2.598869,-4.148139
-2.592505,-4.143247
-2.586245,-4.107576
-2.580084,-4.078192
-2.574020,-3.934458
-2.568049,-3.907017
-2.562168,-3.894341
-2.556374,-3.849484
-2.550665,-3.838787
-2.545038,-3.813584
-2.539491,-3.752244
-2.534020,-3.729957
-2.528624,-3.652304
-2.523301,-3.617716
-2.518049,-3.609171
-2.512865,-3.554976
-2.507747,-3.552624
-2.502695,-3.541215
-2.497705,-3.522201
-2.492777,-3.474361
-2.487909,-3.456635
-2.483099,-3.456635
-2.478346,-3.440836
-2.473648,-3.426289
-2.469005,-3.424314
-2.464413,-3.417477
-2.459873,-3.407951
-2.455384,-3.407951
-2.450943,-3.392300
-2.446550,-3.382335
-2.442204,-3.370373
-2.437903,-3.366997
-2.433647,-3.362956
-2.429435,-3.348775
