theoretical_quantile,sample_quantile
-3.993765,-11.037018
-3.725283,-11.037018
-3.594383,-10.176813
-3.505807,-9.746711
-3.438341,-9.459976
-3.383626,-8.456404
-3.337480,-8.026302
-3.297504,-7.882934
-3.262191,-7.596199
-3.230529,-6.879362
-3.201809,-6.735995
-3.175509,-6.592627
-3.151237,-6.019158
-3.128691,-5.875790
-3.107631,-5.875790
-3.087865,-5.875790
-3.069237,-5.589055
-3.051617,-5.589055
-3.034895,-5.589055
-3.018982,-5.589055
-3.003798,-5.445688
-2.989277,-5.445688
-2.975360,-5.445688
-2.961996,-5.302320
-2.949142,-5.302320
-2.936757,-5.158953
-2.924806,-5.158953
-2.913260,-5.015585
-2.902089,-4.872218
-2.891269,-4.872218
-2.880777,-4.728851
-2.870593,-4.585483
-2.860698,-4.585483
-2.851076,-4.585483
-2.841711,-4.585483
-2.832588,-4.585483
-2.823695,-4.585483
-2.815020,-4.585483
-2.806552,-4.442116
-2.798281,-4.442116
-2.790196,-4.442116
-2.782290,-4.442116
-2.774555,-4.298748
-2.766981,-4.298748
-2.759563,-4.298748
-2.752294,-4.298748
-2.745168,-4.298748
-2.738178,-4.298748
-2.731320,-4.155381
-2.724587,-4.155381
-2.717976,-4.155381
-2.711482,-4.155381
-2.705100,-4.012013
-2.698826,-4.012013
-2.692657,-4.012013
-2.686589,-4.012013
-2.680618,-4.012013
-2.674741,-4.012013
-2.668955,-4.012013
-2.663257,-4.012013
-2.657644,-4.012013
-2.652114,-4.012013
-2.646663,-4.012013
-2.641290,-4.012013
-2.635993,-4.012013
-2.630768,-3.868646
-2.625614,-3.868646
-2.620529,-3.868646
-2.615511,-3.868646
-2.610558,-3.868646
-2.605668,-3.725278
-2.600839,-3.725278
-2.596071,-3.725278
-2.591360,-3.725278
-2.586707,-3.725278
-2.582109,-3.725278
-2.577565,-3.581911
-2.573073,-3.581911
-2.568633,-3.581911
-2.564243,-3.581911
-2.559902,-3.581911
-2.555608,-3.581911
-2.551361,-3.581911
-2.547160,-3.581911
-2.543003,-3.438544
-2.538889,-3.438544
-2.534818,-3.438544
-2.530789,-3.438544
-2.526800,-3.438544
-2.522851,-3.438544
-2.518941,-3.438544
-2.515070,-3.438544
-2.511235,-3.438544
-2.507437,-3.438544
-2.503675,-3.438544
-2.499948,-3.438544
-2.496256,-3.438544
-2.492597,-3.295176
-2.488971,-3.295176
-2.485378,-3.295176
-2.481816,-3.295176
-2.478286,-3.295176
-2.474786,-3.295176
-2.471316,-3.295176
-2.467876,-3.295176
-2.464465,-3.295176
-2.461082,-3.295176
-2.457728,-3.295176
-2.454400,-3.151809
-2.451100,-3.151809
-2.447826,-3.151809
-2.444578,-3.151809
-2.441355,-3.151809
-2.438158,-3.151809
-2.434986,-3.151809
-2.431838,-3.151809
-2.428714,-3.151809
-2.425613,-3.151809
-2.422535,-3.151809
-2.419481,-3.151809
-2.416448,-3.151809
-2.413438,-3.151809
-2.410449,-3.151809
-2.407482,-3.151809
-2.404536,-3.008441
-2.401610,-3.008441
-2.398705,-3.008441
-2.395821,-3.008441
-2.392955,-3.008441
-2.390110,-3.008441
-2.387283,-3.008441
-2.384476,-3.008441
-2.381687,-3.008441
-2.378917,-3.008441
-2.376165,-3.008441
-2.373430,-3.008441
-2.370713,-3.008441
-2.368014,-3.008441
-2.365332,-3.008441
-2.362667,-3.008441
-2.360018,-3.008441
-2.357386,-2.865074
-2.354770,-2.865074
-2.352170,-2.865074
-2.349586,-2.865074
-2.347017,-2.865074
-2.344464,-2.865074
-2.341926,-2.865074
-2.339403,-2.865074
-2.336895,-2.865074
-2.334402,-2.865074
-2.331923,-2.865074
-2.329458,-2.865074
-2.327007,-2.865074
-2.324570,-2.865074
-2.322147,-2.865074
-2.319738,-2.865074
-2.317341,-2.865074
-2.314958,-2.865074
-2.312589,-2.865074
-2.310232,-2.865074
-2.307887,-2.865074
-2.305556,-2.721706
-2.303237,-2.721706
-2.300930,-2.721706
-2.298635,-2.721706
-2.296353,-2.721706
-2.294082,-2.721706
-2.291823,-2.721706
-2.289576,-2.721706
-2.287340,-2.721706
-2.285116,-2.721706
-2.282903,-2.721706
-2.280701,-2.721706
-2.278510,-2.721706
-2.276329,-2.721706
-2.274160,-2.721706
-2.272001,-2.721706
-2.269853,-2.721706
-2.267715,-2.721706
-2.265588,-2.721706
-2.263471,-2.721706
-2.261364,-2.721706
-2.259266,-2.721706
-2.257179,-2.721706
-2.255102,-2.721706
-2.253034,-2.721706
-2.250976,-2.721706
-2.248927,-2.721706
-2.246888,-2.721706
-2.244858,-2.721706
-2.242837,-2.578339
-2.240825,-2.578339
-2.238823,-2.578339
-2.236829,-2.578339
-2.234844,-2.578339
-2.232868,-2.578339
-2.230901,-2.578339
-2.228942,-2.578339
-2.226991,-2.578339
-2.225050,-2.578339
-2.223116,-2.578339
-2.221191,-2.578339
-2.219274,-2.578339
-2.217365,-2.578339
-2.215464,-2.578339
-2.213571,-2.578339
-2.211686,-2.578339
-2.209809,-2.578339
-2.207940,-2.578339
-2.206078,-2.578339
-2.204224,-2.578339
-2.202377,-2.434972
-2.200538,-2.434972
-2.198706,-2.434972
-2.196882,-2.434972
-2.195065,-2.434972
-2.193255,-2.434972
-2.191452,-2.434972
-2.189657,-2.434972
-2.187868,-2.434972
-2.186087,-2.434972
-2.184312,-2.434972
-2.182544,-2.434972
-2.180783,-2.434972
-2.179029,-2.434972
-2.177281,-2.434972
-2.175540,-2.434972
-2.173806,-2.434972
-2.172078,-2.434972
-2.170357,-2.434972
-2.168642,-2.434972
-2.166933,-2.434972
-2.165231,-2.434972
-2.163534,-2.434972
-2.161845,-2.434972
-2.160161,-2.434972
-2.158483,-2.434972
-2.156811,-2.434972
-2.155146,-2.434972
-2.153486,-2.434972
-2.151833,-2.434972
-2.150185,-2.434972
-2.148543,-2.434972
-2.146906,-2.434972
-2.145276,-2.434972
-2.143651,-2.434972
-2.142032,-2.434972
-2.140418,-2.434972
-2.138810,-2.434972
-2.137207,-2.434972
-2.135610,-2.434972
-2.134019,-2.434972
-2.132432,-2.434972
-2.130851,-2.291604
-2.129276,-2.291604
-2.127705,-2.291604
-2.126140,-2.291604
-2.124580,-2.291604
-2.123026,-2.291604
-2.121476,-2.291604
-2.119931,-2.291604
-2.118392,-2.291604
-2.116857,-2.291604
-2.115328,-2.291604
-2.113803,-2.291604
-2.112283,-2.291604
-2.110768,-2.291604
-2.109258,-2.291604
-2.107753,-2.291604
-2.106253,-2.291604
-2.104757,-2.291604
-2.103266,-2.291604
-2.101779,-2.291604
-2.100298,-2.291604
-2.098820,-2.291604
-2.097348,-2.291604
-2.095880,-2.291604
-2.094416,-2.291604
-2.092957,-2.291604
-2.091502,-2.291604
-2.090052,-2.291604
-2.088606,-2.291604
-2.087165,-2.291604
-2.085727,-2.291604
