bin_center,count,normal_pdf_scaled
-168.091667,1,0.000000
-162.275000,0,0.000000
-156.458333,0,0.000000
-150.641667,0,0.000000
-144.825000,0,0.000000
-139.008333,0,0.000000
-133.191667,0,0.000000
-127.375000,0,0.000000
-121.558333,0,0.000000
-115.741667,0,0.000000
-109.925000,0,0.000000
-104.108333,1,0.000000
-98.291667,1,0.000000
-92.475000,3,0.000000
-86.658333,0,0.000001
-80.841667,3,0.000011
-75.025000,3,0.000160
-69.208333,7,0.001932
-63.391667,13,0.019118
-57.575000,14,0.154756
-51.758333,17,1.024493
-45.941667,32,5.546631
-40.125000,61,24.558919
-34.308333,91,88.930161
-28.491667,170,263.359335
-22.675000,379,637.834744
-16.858333,766,1263.360926
-11.041667,1457,2046.475375
-5.225000,3372,2711.099267
0.591667,4383,2937.271760
6.408333,3028,2602.571405
12.225000,1386,1885.910124
18.041667,531,1117.632812
23.858333,313,541.672901
29.675000,186,214.701406
35.491667,80,69.597315
41.308333,44,18.450574
47.125000,36,4.000250
52.941667,15,0.709291
58.758333,13,0.102854
64.575000,7,0.012198
70.391667,5,0.001183
76.208333,7,0.000094
82.025000,3,0.000006
87.841667,1,0.000000
93.658333,1,0.000000
99.475000,1,0.000000
105.291667,0,0.000000
111.108333,0,0.000000
116.925000,0,0.000000
122.741667,1,0.000000
128.558333,0,0.000000
134.375000,0,0.000000
140.191667,1,0.000000
146.008333,1,0.000000
151.825000,0,0.000000
157.641667,0,0.000000
163.458333,0,0.000000
169.275000,0,0.000000
175.091667,1,0.000000
