date,delta,sigma_distance,direction,macro_tag
2008-02-26,0.18437705597605078,3.392687531610549,up,
2008-03-18,-0.16802425209313027,-3.091853831435023,down,
2008-03-20,0.2017993637535255,3.7132756589411287,up,
2008-04-18,-0.2349315070662521,-4.323015159235407,down,
2008-05-09,0.3184537311185346,5.859834292627623,up,
2008-05-16,0.18026182383094405,3.3169630877664287,up,
2008-06-03,-0.496436886313891,-9.13497927390134,down,
2008-07-22,-0.16970309283474308,-3.1227462032329654,down,
2008-08-28,-0.2726892878656396,-5.017796608010196,down,
2008-09-18,-0.17573174711489908,-3.23367955435293,down,GFC
2008-10-22,-0.2366877764219669,-4.355332296036574,down,GFC
2008-10-29,0.17340619313600217,3.1908125321550167,up,GFC
2008-11-04,-0.17924935775698456,-3.2984071566216895,down,GFC
2008-11-05,0.19451682988777297,3.5792696521558707,up,GFC
2008-11-17,0.17384692980298233,3.198922533683963,up,GFC
2008-11-18,-0.19301684591070253,-3.551742897306563,down,GFC
2008-11-27,-0.38711596943996784,-7.123363564529866,down,GFC
2008-11-28,-2.1355310083308794,-39.29597297275974,down,GFC
2008-12-01,-0.1670540846631662,-3.074001767085005,down,GFC
2008-12-02,1.0033021088637848,18.461738800972753,up,GFC
2008-12-04,0.5717863235556779,10.521410843710486,up,GFC
2008-12-05,-0.3429447511268303,-6.310568363010845,down,GFC
2008-12-08,0.32668423025505,6.0112838215231506,up,GFC
2008-12-09,0.21985947611301987,4.04560003724168,up,GFC
2008-12-11,-0.781254448070212,-14.375911182610592,down,GFC
2008-12-12,0.5368011101692514,9.877647446400045,up,GFC
2008-12-16,-0.9315582040049435,-17.14165268260677,down,GFC
2008-12-17,-3.258096538021482,-59.95231687196811,down,GFC
2008-12-19,1.0986122886681098,20.215542742980613,up,GFC
2008-12-22,2.367123614131617,43.557437256734964,up,GFC
2008-12-23,0.3409265869705932,6.273357625207952,up,GFC
2008-12-24,0.3042113744029914,5.597760488942822,up,GFC
2008-12-25,-0.19885085874516517,-3.659094648481632,down,GFC
