bin_center,count,normal_pdf_scaled
-75.758333,2,0.000000
-73.275000,0,0.000000
-70.791667,1,0.000000
-68.308333,1,0.000000
-65.825000,1,0.000000
-63.341667,0,0.000000
-60.858333,0,0.000000
-58.375000,1,0.000000
-55.891667,2,0.000000
-53.408333,1,0.000000
-50.925000,0,0.000000
-48.441667,1,0.000000
-45.958333,2,0.000001
-43.475000,0,0.000008
-40.991667,4,0.000070
-38.508333,7,0.000532
-36.025000,5,0.003564
-33.541667,3,0.021019
-31.058333,17,0.109215
-28.575000,17,0.499918
-26.091667,19,2.015874
-23.608333,24,7.161083
-21.125000,54,22.410123
-18.641667,50,61.781721
-16.158333,138,150.046549
-13.675000,141,321.027517
-11.191667,411,605.074362
-8.708333,495,1004.674747
-6.225000,1406,1469.577400
-3.741667,1578,1893.693489
-1.258333,2371,2149.696506
1.225000,4236,2149.784159
3.708333,1666,1893.925142
6.191667,1297,1469.877031
8.675000,524,1004.961539
11.158333,408,605.296443
13.641667,145,321.171533
16.125000,142,150.126103
18.608333,71,61.819519
21.091667,45,22.425662
23.575000,22,7.166633
26.058333,15,2.017601
28.541667,9,0.500387
31.025000,13,0.109327
33.508333,7,0.021042
35.991667,5,0.003568
38.475000,6,0.000533
40.958333,6,0.000070
43.441667,1,0.000008
45.925000,2,0.000001
48.408333,0,0.000000
50.891667,3,0.000000
53.375000,0,0.000000
55.858333,1,0.000000
58.341667,0,0.000000
60.825000,0,0.000000
63.308333,0,0.000000
65.791667,0,0.000000
68.275000,0,0.000000
70.758333,1,0.000000
