theoretical_quantile,sample_quantile
-4.009507,-35.654061
-3.742033,-33.939204
-3.611672,-26.081289
-3.523479,-26.081289
-3.456317,-16.167966
-3.401854,-16.167966
-3.355927,-14.522789
-3.316144,-12.815164
-3.281005,-12.509254
-3.249503,-12.509254
-3.220928,-12.509254
-3.194764,-11.724107
-3.170619,-9.913356
-3.148192,-9.128209
-3.127245,-8.850542
-3.107586,-8.466505
-3.089060,-8.441158
-3.071536,-8.268179
-3.054908,-8.147056
-3.039084,-6.254644
-3.023986,-6.254644
-3.009548,-6.060583
-2.995711,-6.009647
-2.982425,-5.948733
-2.969645,-5.870607
-2.957332,-5.632087
-2.945453,-5.585931
-2.933975,-5.568985
-2.922870,-5.373604
-2.912115,-5.303924
-2.901687,-5.191829
-2.891565,-5.110901
-2.881731,-5.049724
-2.872168,-4.788155
-2.862860,-4.721561
-2.853794,-4.550101
-2.844957,-4.434247
-2.836337,-4.428990
-2.827922,-3.954625
-2.819703,-3.928124
-2.811670,-3.761873
-2.803814,-3.731811
-2.796128,-3.719923
-2.788604,-3.712941
-2.781234,-3.658746
-2.774012,-3.527014
-2.766932,-3.508975
-2.759988,-3.499034
-2.753175,-3.494678
-2.746487,-3.436928
-2.739920,-3.381078
-2.733468,-3.358935
-2.727129,-3.300827
-2.720897,-3.274710
-2.714770,-3.257636
-2.708742,-3.257636
-2.702812,-3.242843
-2.696975,-3.237465
-2.691228,-3.218488
-2.685569,-3.099365
-2.679995,-3.099365
-2.674502,-3.083807
-2.669089,-3.078586
-2.663754,-2.979968
-2.658493,-2.908194
-2.653304,-2.906353
-2.648187,-2.824692
-2.643137,-2.775878
-2.638154,-2.767813
-2.633236,-2.767813
-2.628380,-2.740311
-2.623586,-2.736627
-2.618851,-2.682281
-2.614175,-2.673387
-2.609555,-2.667490
-2.604989,-2.595932
-2.600478,-2.595932
-2.596019,-2.595932
-2.591611,-2.529337
-2.587252,-2.515003
-2.582942,-2.506589
-2.578680,-2.476413
-2.574464,-2.466095
-2.570293,-2.460237
-2.566167,-2.453826
-2.562084,-2.435652
-2.558043,-2.379436
-2.554043,-2.341732
-2.550084,-2.341732
-2.546164,-2.338100
-2.542283,-2.284746
-2.538441,-2.277690
-2.534635,-2.258260
-2.530865,-2.245946
-2.527131,-2.245946
-2.523432,-2.239481
-2.519768,-2.205857
-2.516136,-2.162721
-2.512538,-2.143874
-2.508972,-2.119108
-2.505438,-2.115147
-2.501934,-2.099100
-2.498461,-2.096480
-2.495018,-2.095230
-2.491604,-2.091695
-2.488219,-2.084341
-2.484863,-2.083609
-2.481534,-2.077793
-2.478232,-2.071598
-2.474957,-2.051885
-2.471708,-2.049832
-2.468486,-2.044105
-2.465289,-2.038951
-2.462116,-2.024912
-2.458969,-2.013569
-2.455845,-2.013569
-2.452745,-2.013569
-2.449669,-2.001765
-2.446616,-1.993268
-2.443585,-1.981851
-2.440577,-1.979453
-2.437590,-1.969444
-2.434625,-1.964661
-2.431682,-1.961858
-2.428759,-1.955164
-2.425857,-1.934760
-2.422975,-1.927219
-2.420113,-1.892446
-2.417271,-1.892446
-2.414448,-1.886773
-2.411645,-1.886773
-2.408860,-1.873667
-2.406094,-1.866042
-2.403346,-1.861910
-2.400616,-1.837208
-2.397904,-1.833863
-2.395209,-1.824917
-2.392532,-1.820430
-2.389871,-1.816684
-2.387228,-1.815725
-2.384601,-1.810785
-2.381990,-1.798713
-2.379396,-1.795721
-2.376817,-1.792738
-2.374255,-1.792738
-2.371707,-1.792122
-2.369175,-1.785113
-2.366658,-1.764730
-2.364156,-1.760162
-2.361669,-1.752000
-2.359196,-1.752000
-2.356738,-1.752000
-2.354293,-1.752000
-2.351863,-1.748931
-2.349447,-1.746845
-2.347044,-1.743294
-2.344654,-1.735901
-2.342278,-1.735901
-2.339915,-1.734861
-2.337566,-1.731561
-2.335228,-1.719175
-2.332904,-1.714891
-2.330592,-1.710566
-2.328293,-1.707658
-2.326006,-1.707658
-2.323730,-1.707658
-2.321467,-1.701785
-2.319216,-1.694791
-2.316976,-1.683691
-2.314748,-1.670666
-2.312532,-1.666981
-2.310326,-1.661196
-2.308132,-1.645211
-2.305949,-1.645211
-2.303777,-1.645211
-2.301616,-1.631653
-2.299465,-1.624727
-2.297325,-1.622959
-2.295195,-1.621497
-2.293076,-1.615675
-2.290967,-1.615675
-2.288868,-1.608456
-2.286779,-1.603339
-2.284701,-1.603339
-2.282631,-1.601829
-2.280572,-1.600682
-2.278522,-1.596567
-2.276482,-1.587182
-2.274452,-1.587182
-2.272430,-1.580987
-2.270418,-1.573311
-2.268415,-1.563550
-2.266421,-1.558506
-2.264436,-1.557604
-2.262460,-1.550724
-2.260493,-1.546284
-2.258534,-1.536024
-2.256584,-1.535391
-2.254643,-1.533117
-2.252710,-1.524696
-2.250785,-1.519007
-2.248869,-1.514117
-2.246961,-1.507446
-2.245061,-1.507446
-2.243169,-1.491834
-2.241285,-1.477986
-2.239409,-1.476543
-2.237541,-1.473188
-2.235681,-1.471221
-2.233828,-1.466523
-2.231983,-1.466523
-2.230146,-1.464535
-2.228316,-1.461854
-2.226494,-1.458604
-2.224678,-1.452188
-2.222871,-1.449416
-2.221070,-1.442428
-2.219277,-1.438629
-2.217490,-1.435353
-2.215711,-1.424004
-2.213939,-1.423588
-2.212174,-1.423588
-2.210415,-1.422398
-2.208664,-1.420261
-2.206919,-1.411450
-2.205180,-1.408415
-2.203449,-1.397758
-2.201724,-1.391012
-2.200005,-1.391012
-2.198293,-1.391012
-2.196588,-1.391012
-2.194889,-1.391012
-2.193196,-1.379178
-2.191509,-1.378488
-2.189829,-1.371751
-2.188154,-1.365449
-2.186486,-1.364666
-2.184824,-1.356105
-2.183168,-1.356105
-2.181518,-1.349333
-2.179874,-1.347455
-2.178236,-1.346451
-2.176603,-1.345826
-2.174976,-1.344856
-2.173355,-1.337140
-2.171740,-1.334790
-2.170131,-1.334790
-2.168527,-1.332227
-2.166928,-1.329418
-2.165335,-1.322910
-2.163748,-1.322910
-2.162166,-1.322910
-2.160589,-1.317048
-2.159018,-1.310083
-2.157452,-1.310083
-2.155891,-1.298462
-2.154335,-1.291304
-2.152785,-1.285882
-2.151240,-1.285662
-2.149700,-1.284224
-2.148165,-1.282115
-2.146635,-1.281102
-2.145110,-1.273056
-2.143590,-1.273056
-2.142076,-1.273056
-2.140565,-1.267400
-2.139060,-1.267088
-2.137560,-1.266548
-2.136064,-1.263739
-2.134574,-1.261175
-2.133087,-1.261175
-2.131606,-1.261175
-2.130129,-1.255318
-2.128657,-1.246633
-2.127190,-1.246633
-2.125727,-1.234982
-2.124268,-1.232422
-2.122815,-1.228422
-2.121365,-1.227597
-2.119920,-1.223128
-2.118480,-1.221286
-2.117043,-1.220498
-2.115612,-1.213065
-2.114184,-1.211183
-2.112761,-1.209446
-2.111342,-1.204954
-2.109927,-1.204954
-2.108517,-1.199778
-2.107111,-1.196068
-2.105708,-1.192685
-2.104310,-1.191674
-2.102916,-1.189053
-2.101527,-1.187312
-2.100141,-1.185144
-2.098759,-1.180664
-2.097381,-1.180038
-2.096007,-1.178684
-2.094638,-1.168884
-2.093272,-1.160612
-2.091910,-1.158481
-2.090551,-1.156357
-2.089197,-1.153538
-2.087847,-1.149080
-2.086500,-1.137362
-2.085157,-1.136565
-2.083818,-1.133180
-2.082482,-1.129443
-2.081150,-1.126374
-2.079822,-1.123045
-2.078498,-1.118378
-2.077177,-1.117488
-2.075860,-1.115464
-2.074546,-1.112959
-2.073236,-1.112023
-2.071930,-1.110466
-2.070627,-1.110466
-2.069328,-1.106335
-2.068032,-1.106335
-2.066739,-1.106335
-2.065450,-1.104528
-2.064164,-1.101827
-2.062882,-1.099906
-2.061603,-1.099906
-2.060328,-1.099906
-2.059056,-1.099906
-2.057787,-1.099906
-2.056521,-1.098166
-2.055259,-1.095987
-2.054000,-1.095133
-2.044044,-1.076959
-2.034286,-1.053295
-2.024719,-1.039859
-2.015333,-1.032415
-2.006121,-1.008783
-1.997077,-0.971239
-1.988193,-0.944893
-1.979463,-0.921599
-1.970881,-0.903136
-1.962443,-0.884160
-1.954141,-0.876790
-1.945972,-0.865223
-1.937932,-0.855983
-1.930014,-0.844719
-1.922216,-0.837867
-1.914532,-0.829631
-1.906960,-0.820917
-1.899496,-0.816273
-1.892137,-0.808649
-1.884878,-0.801031
-1.877717,-0.793820
-1.870652,-0.785181
-1.863678,-0.778404
-1.856794,-0.769716
-1.849997,-0.756938
-1.843284,-0.743964
-1.836654,-0.732653
-1.830103,-0.726956
-1.823630,-0.718912
-1.817232,-0.713508
-1.810908,-0.703519
-1.804655,-0.694491
-1.798472,-0.689185
-1.792357,-0.681376
-1.786309,-0.676462
-1.780325,-0.668747
-1.774404,-0.656578
-1.768545,-0.651191
-1.762746,-0.642755
-1.757005,-0.637251
-1.751322,-0.632022
-1.745695,-0.628373
-1.740122,-0.622591
-1.734603,-0.616914
-1.729137,-0.612862
-1.723721,-0.608590
-1.718356,-0.603654
-1.713040,-0.596142
-1.707772,-0.592200
-1.702550,-0.585547
-1.697375,-0.579280
-1.692245,-0.568047
-1.687159,-0.558366
-1.682116,-0.554844
-1.677115,-0.550898
-1.672157,-0.544720
-1.667238,-0.539530
-1.662360,-0.537059
-1.657522,-0.532185
-1.652721,-0.529782
-1.647959,-0.525823
-1.643233,-0.524368
-1.638544,-0.520050
-1.633891,-0.515803
-1.629273,-0.509971
-1.624689,-0.507273
-1.620140,-0.503021
-1.615623,-0.495350
-1.611139,-0.492610
-1.606688,-0.487909
-1.602268,-0.484633
-1.597879,-0.481401
-1.593520,-0.477158
-1.589192,-0.472989
-1.584893,-0.470114
