bin_center,count,normal_pdf_scaled
-101.725000,1,0.000000
-97.175000,0,0.000000
-92.625000,0,0.000000
-88.075000,0,0.000000
-83.525000,2,0.000000
-78.975000,1,0.000000
-74.425000,1,0.000000
-69.875000,0,0.000000
-65.325000,3,0.000000
-60.775000,5,0.000000
-56.225000,2,0.000000
-51.675000,3,0.000000
-47.125000,9,0.000001
-42.575000,15,0.000041
-38.025000,10,0.001605
-33.475000,10,0.041238
-28.925000,19,0.699329
-24.375000,22,7.825675
-19.825000,54,57.785920
-15.275000,122,281.567219
-10.725000,237,905.319683
-6.175000,948,1920.797773
-1.625000,5230,2689.187813
2.925000,3155,2484.393791
7.475000,428,1514.535808
12.025000,200,609.254108
16.575000,73,161.725014
21.125000,38,28.327989
25.675000,25,3.274267
30.225000,15,0.249731
34.775000,11,0.012569
39.325000,8,0.000417
43.875000,6,0.000009
48.425000,4,0.000000
52.975000,3,0.000000
57.525000,0,0.000000
62.075000,1,0.000000
66.625000,1,0.000000
71.175000,1,0.000000
75.725000,1,0.000000
80.275000,0,0.000000
84.825000,0,0.000000
89.375000,0,0.000000
93.925000,0,0.000000
98.475000,0,0.000000
103.025000,0,0.000000
107.575000,0,0.000000
112.125000,0,0.000000
116.675000,0,0.000000
121.225000,0,0.000000
125.775000,0,0.000000
130.325000,0,0.000000
134.875000,0,0.000000
139.425000,0,0.000000
143.975000,0,0.000000
148.525000,0,0.000000
153.075000,0,0.000000
157.625000,0,0.000000
162.175000,0,0.000000
166.725000,1,0.000000
