date,delta,sigma_distance,direction,macro_tag
2008-04-22,-1.3609765531356006,-4.497100828218783,down,
2008-04-23,-2.302585092994046,-7.608719317761369,down,
2008-04-24,2.1972245773362196,7.261250926696157,up,
2008-04-25,-2.197224577336219,-7.260547317709287,down,
2008-04-29,1.791759469228055,5.921360012534083,up,
2008-04-30,-1.791759469228055,-5.920656403547214,down,
2008-05-28,2.1972245773362196,7.261250926696157,up,
2008-05-29,-2.197224577336219,-7.260547317709287,down,
2008-06-25,2.4849066497880004,8.21191865947337,up,
2008-06-26,-2.4849066497880004,-8.211215050486503,down,
2008-06-27,3.4011973816621555,11.239872487849597,up,
2008-07-03,-1.0986122886681098,-3.6300977566079267,down,
2008-07-04,1.4136933353080052,4.672011134759078,up,
2008-08-28,-4.110873864173311,-13.584349886786924,down,
2008-10-10,1.9459101490553135,6.43076289624005,up,GFC
2008-10-13,-1.9459101490553135,-6.43005928725318,down,GFC
2009-02-26,1.3862943611198906,4.581469098372009,up,
2009-02-27,1.6094379124341003,5.318864279808949,up,
2009-03-02,-2.9957322735539913,-9.899277964700657,down,
2009-03-25,2.302585092994046,7.609422926748237,up,
2009-03-26,1.7578579175523734,5.809329704234105,up,
2009-03-27,-2.114532861491106,-6.987286125755425,down,
2009-04-08,-2.302585092994046,-7.608719317761369,down,
2009-04-13,1.791759469228055,5.921360012534083,up,
2009-04-14,-1.791759469228055,-5.920656403547214,down,
2009-05-20,3.258096538021482,10.76698464529838,up,
2009-05-25,1.8971199848858813,6.269532012586163,up,
2009-06-08,-3.2188758248682006,-10.636673146137595,down,
2009-06-10,3.970291913552122,13.120489530673586,up,
2009-06-24,-2.9444389791664407,-9.729775292996079,down,
2009-06-30,3.3322045101752042,11.011880190118625,up,
2009-07-02,1.0116009116784799,3.3432655181796966,up,
2009-08-28,-2.2914117923959205,-7.571796278877747,down,
2009-08-31,-2.197224577336219,-7.260547317709287,down,
2009-09-09,2.0794415416798357,6.872027745311296,up,
2009-09-11,1.5040773967762742,4.97069227975687,up,
2009-09-15,-2.197224577336219,-7.260547317709287,down,
2009-09-16,3.258096538021482,10.76698464529838,up,
2009-09-17,-3.258096538021482,-10.766281036311513,down,
2009-10-20,2.302585092994046,7.609422926748237,up,
2009-10-21,1.2237754316221157,4.044412684246914,up,
2009-10-23,-1.1592369104845446,-3.83043652391977,down,
2009-10-26,-1.6739764335716716,-5.531433222162355,down,
2009-10-27,1.540445040947149,5.090871982077976,up,
2009-10-28,-2.639057329615259,-8.72061793419247,down,
2009-10-29,3.4011973816621555,11.239872487849597,up,
2009-11-03,-3.4339872044851463,-11.347525392897937,down,
2009-11-13,2.5649493574615367,8.476425998359092,up,
2009-11-16,-2.5649493574615367,-8.475722389372224,down,
2009-11-19,1.9459101490553135,6.43076289624005,up,
2009-11-23,-2.3978952727983707,-7.923679203071404,down,
2009-11-26,3.3672958299864737,11.127842179549619,up,
2009-11-30,-2.9444389791664407,-9.729775292996079,down,
2009-12-07,3.8501476017100584,12.723463328896214,up,
2009-12-08,-1.452252328911688,-4.798728712344508,down,
2009-12-09,-1.7047480922384253,-5.633120556132115,down,
2009-12-11,2.772588722239781,9.162586392250585,up,
2009-12-15,1.349926716949016,4.461289396050904,up,
2009-12-16,-3.295836866004329,-10.89099687881065,down,
2010-01-06,1.0986122886681098,3.630801365594796,up,
2010-01-07,1.8971199848858813,6.269532012586163,up,
2010-01-13,-2.4849066497880004,-8.211215050486503,down,
2010-01-20,2.0794415416798357,6.872027745311296,up,
2010-01-21,-2.0794415416798357,-6.871324136324429,down,
2010-01-22,2.1972245773362196,7.261250926696157,up,
2010-04-13,-3.295836866004329,-10.89099687881065,down,
2010-06-28,2.639057329615259,8.721321543179338,up,
2010-07-01,-2.9444389791664407,-9.729775292996079,down,
2010-07-05,1.6094379124341003,5.318864279808949,up,
2010-07-06,-1.6094379124341005,-5.31816067082208,down,
2010-07-21,2.772588722239781,9.162586392250585,up,
2010-07-27,-2.70805020110221,-8.948610231923443,down,
2010-07-29,1.791759469228055,5.921360012534083,up,
