theoretical_quantile,sample_quantile
-3.993765,-19.647001
-3.725283,-15.765504
-3.594383,-13.576011
-3.505807,-12.265678
-3.438341,-11.913041
-3.383626,-11.697495
-3.337480,-11.533835
-3.297504,-8.922718
-3.262191,-8.864952
-3.230529,-8.738500
-3.201809,-8.325989
-3.175509,-7.970674
-3.151237,-7.567063
-3.128691,-7.066195
-3.107631,-6.433611
-3.087865,-6.410243
-3.069237,-5.990223
-3.051617,-5.545841
-3.034895,-5.425110
-3.018982,-5.391575
-3.003798,-5.155746
-2.989277,-4.892590
-2.975360,-4.835634
-2.961996,-4.835634
-2.949142,-4.786108
-2.936757,-4.775410
-2.924806,-4.713694
-2.913260,-4.707758
-2.902089,-4.702533
-2.891269,-4.690040
-2.880777,-4.671807
-2.870593,-4.640726
-2.860698,-4.636857
-2.851076,-4.634804
-2.841711,-4.620484
-2.832588,-4.620484
-2.823695,-4.596139
-2.815020,-4.528893
-2.806552,-4.509031
-2.798281,-4.185934
-2.790196,-4.158002
-2.782290,-4.149857
-2.774555,-4.140733
-2.766981,-4.073069
-2.759563,-4.071557
-2.752294,-4.064129
-2.745168,-4.055177
-2.738178,-4.023755
-2.731320,-4.023755
-2.724587,-4.012958
-2.717976,-3.972453
-2.711482,-3.888552
-2.705100,-3.864940
-2.698826,-3.864940
-2.692657,-3.844467
-2.686589,-3.820588
-2.680618,-3.818293
-2.674741,-3.805339
-2.668955,-3.800650
-2.663257,-3.800650
-2.657644,-3.779693
-2.652114,-3.759863
-2.646663,-3.723236
-2.641290,-3.719090
-2.635993,-3.646970
-2.630768,-3.604777
-2.625614,-3.596018
-2.620529,-3.563549
-2.615511,-3.551602
-2.610558,-3.543286
-2.605668,-3.541049
-2.600839,-3.513321
-2.596071,-3.513321
-2.591360,-3.513321
-2.586707,-3.503445
-2.582109,-3.496892
-2.577565,-3.493624
-2.573073,-3.473267
-2.568633,-3.440580
-2.564243,-3.432683
-2.559902,-3.391171
-2.555608,-3.387447
-2.551361,-3.357816
-2.547160,-3.348151
-2.543003,-3.325814
-2.538889,-3.311088
-2.534818,-3.311088
-2.530789,-3.294417
