date,delta,sigma_distance,direction,macro_tag
1981-09-02,-36.0000000000003,-5.070613295789003,down,
1981-09-03,31.000000000000227,4.423582811322434,up,
1981-09-04,-32.00000000000003,-4.503795617752465,down,
1981-09-10,-49.00000000000002,-6.912770749407586,down,
1981-09-14,-49.00000000000002,-6.912770749407586,down,
1981-09-22,52.999999999999936,7.541080040523139,up,
1981-09-23,-57.00000000000003,-8.046406105480585,down,
1981-10-01,27.999999999999936,3.9984695527950183,up,
1981-10-05,-41.99999999999999,-5.920839812843709,down,
1981-10-06,-37.0000000000001,-5.2123177152980995,down,
1981-10-09,-41.99999999999999,-5.920839812843709,down,
1981-10-30,-41.000000000000014,-5.779135393334586,down,
1981-11-06,-51.99999999999996,-7.337884007934951,down,
1981-11-09,-49.00000000000002,-6.912770749407586,down,
1981-11-13,25.0,3.573356294267653,up,
1981-11-18,-61.99999999999992,-8.754928203026195,down,
1981-11-23,40.000000000000036,5.69892258690453,up,
1981-11-24,-31.00000000000005,-4.362091198243344,down,
1981-12-04,-66.00000000000001,-9.321745881062705,down,
1981-12-07,37.0000000000001,5.2738093283771645,up,
1981-12-17,23.999999999999844,3.4316518747585056,up,
1981-12-18,-28.999999999999915,-4.078682359225075,down,
1981-12-21,23.000000000000043,3.289947455249409,up,
1981-12-23,42.99999999999997,6.124035845431895,up,
1981-12-24,-36.99999999999992,-5.212317715298075,down,
1981-12-29,47.000000000000064,6.690853523468408,up,
1981-12-30,-36.00000000000012,-5.070613295788978,down,
1981-12-31,-32.00000000000003,-4.503795617752465,down,
1982-01-05,33.00000000000001,4.706991650340652,up,
1982-01-11,50.99999999999998,7.257671201504895,up,
1982-01-14,47.000000000000064,6.690853523468408,up,
1982-01-15,-42.99999999999997,-6.06254423235283,down,
1982-01-18,67.0,9.524941913650895,up,
1982-01-19,-27.999999999999936,-3.9369779397159532,down,
1982-01-20,37.9999999999999,5.415513747886261,up,
1982-01-25,42.99999999999997,6.124035845431895,up,
1982-01-26,-41.000000000000014,-5.779135393334586,down,
1982-01-27,-25.0,-3.511864681188588,down,
1982-01-28,-56.00000000000005,-7.904701685971464,down,
1982-01-29,24.00000000000002,3.431651874758531,up,
1982-02-01,168.99999999999994,23.978792703581618,up,
1982-02-02,-27.999999999999936,-3.9369779397159532,down,
1982-02-04,-25.99999999999998,-3.6535691006977093,down,
1982-02-05,25.0,3.573356294267653,up,
1982-02-08,40.99999999999984,5.8406270064136265,up,
1982-02-18,-73.00000000000004,-10.313676817626584,down,
1982-02-19,-41.000000000000014,-5.779135393334586,down,
1982-02-22,-103.99999999999991,-14.706513822409434,down,
1982-02-26,21.000000000000085,3.0065386162311656,up,
1982-03-02,41.000000000000014,5.840627006413651,up,
1982-03-03,-37.0000000000001,-5.2123177152980995,down,
1982-03-09,25.0,3.573356294267653,up,
1982-03-11,24.00000000000002,3.431651874758531,up,
1982-03-19,24.00000000000002,3.431651874758531,up,
1982-03-22,-42.99999999999997,-6.06254423235283,down,
1982-03-24,28.000000000000114,3.998469552795043,up,
1982-03-26,33.999999999999986,4.848696069849774,up,
1982-03-29,47.000000000000064,6.690853523468408,up,
1982-04-16,-25.99999999999998,-3.6535691006977093,down,
1982-04-21,-33.999999999999986,-4.787204456770709,down,
1982-04-22,25.99999999999998,3.7150607137767744,up,
1982-05-03,31.00000000000005,4.423582811322409,up,
1982-05-06,-31.00000000000005,-4.362091198243344,down,
1982-05-11,-24.00000000000002,-3.370160261679466,down,
1982-05-19,-41.000000000000014,-5.779135393334586,down,
1982-05-20,-47.000000000000064,-6.629361910389343,down,
1982-06-14,33.00000000000001,4.706991650340652,up,
