theoretical_quantile,sample_quantile
-3.933623,-10.493728
-3.661212,-9.206119
-3.528213,-8.322110
-3.438140,-8.009909
-3.369490,-7.619081
-3.313784,-7.590735
-3.266782,-7.381802
-3.226048,-7.200176
-3.190051,-7.200176
-3.157767,-6.728896
-3.128472,-6.450184
-3.101639,-6.198607
-3.076869,-6.198607
-3.053853,-6.198607
-3.032350,-6.133015
-3.012164,-6.113608
-2.993135,-6.113608
-2.975132,-6.058228
-2.958044,-5.990402
-2.941779,-5.990402
-2.926257,-5.905402
-2.911409,-5.795761
-2.897177,-5.795761
-2.883508,-5.543630
-2.870358,-5.442179
-2.857686,-5.442179
-2.845457,-5.250041
-2.833639,-5.204111
-2.822204,-5.171794
-2.811127,-5.171794
-2.800385,-5.046447
-2.789956,-5.018380
-2.779822,-4.986027
-2.769965,-4.986027
-2.760371,-4.986027
-2.751024,-4.850529
-2.741912,-4.785508
-2.733021,-4.770750
-2.724342,-4.733592
-2.715863,-4.722208
-2.707575,-4.600508
-2.699469,-4.600508
-2.691536,-4.600508
-2.683770,-4.600508
-2.676161,-4.600508
-2.668705,-4.600508
-2.661394,-4.474709
-2.654223,-4.405867
-2.647186,-4.375018
-2.640277,-4.314598
-2.633492,-4.294071
-2.626827,-4.270368
-2.620276,-4.270368
-2.613835,-4.270368
-2.607501,-4.233910
-2.601270,-4.209949
-2.595139,-4.170611
-2.589103,-4.094100
-2.583161,-4.094100
-2.577308,-4.075410
-2.571542,-4.033559
-2.565860,-3.984459
-2.560260,-3.984459
-2.554740,-3.984459
-2.549296,-3.984459
-2.543926,-3.984459
-2.538629,-3.984459
-2.533402,-3.984459
-2.528244,-3.984459
-2.523152,-3.984459
-2.518124,-3.984459
-2.513159,-3.984459
-2.508256,-3.984459
-2.503412,-3.984459
-2.498626,-3.984459
-2.493897,-3.984459
-2.489223,-3.984459
-2.484602,-3.984459
-2.480034,-3.984459
-2.475517,-3.984459
-2.471051,-3.984459
-2.466632,-3.947367
-2.462262,-3.943837
-2.457938,-3.936540
-2.453660,-3.936540
-2.449426,-3.936540
-2.445235,-3.886873
-2.441087,-3.880537
-2.436981,-3.814217
-2.432915,-3.814217
-2.428889,-3.793954
-2.424902,-3.734438
-2.420953,-3.734438
-2.417042,-3.734438
-2.413167,-3.734438
-2.409328,-3.734438
-2.405524,-3.657927
-2.401755,-3.657927
-2.398020,-3.657927
-2.394318,-3.657927
-2.390648,-3.657927
-2.387010,-3.620836
-2.383404,-3.598939
-2.379828,-3.598939
-2.376282,-3.598939
-2.372766,-3.584488
-2.369280,-3.552073
-2.365821,-3.513940
-2.362391,-3.513940
-2.358988,-3.513940
-2.355613,-3.513940
-2.352264,-3.513940
-2.348941,-3.513940
-2.345644,-3.513940
-2.342373,-3.513940
-2.339126,-3.476616
-2.335903,-3.472928
-2.332705,-3.455643
-2.329531,-3.446114
-2.326379,-3.446114
-2.323251,-3.413173
-2.320145,-3.380856
-2.317062,-3.380856
-2.314000,-3.380856
-2.310960,-3.380856
-2.307941,-3.350993
-2.304943,-3.318022
-2.301965,-3.318022
-2.299008,-3.318022
-2.296071,-3.318022
-2.293153,-3.318022
-2.290255,-3.318022
-2.287376,-3.318022
-2.284516,-3.318022
-2.281674,-3.228030
-2.278851,-3.142788
-2.276046,-3.142788
-2.273258,-3.142788
-2.270488,-3.142788
-2.267736,-3.125412
-2.265000,-3.106330
-2.262281,-3.096068
-2.259579,-3.081752
-2.256894,-3.077767
-2.254224,-3.068001
-2.251571,-3.035892
-2.248933,-3.035892
-2.246310,-3.023039
-2.243704,-2.985124
-2.241112,-2.985124
-2.238535,-2.985124
-2.235973,-2.963881
-2.233426,-2.948147
-2.230893,-2.948147
-2.228374,-2.946409
-2.225869,-2.936024
-2.223379,-2.936024
-2.220902,-2.936024
-2.218438,-2.936024
-2.215988,-2.936024
-2.213551,-2.912074
-2.211127,-2.912074
-2.208716,-2.894366
-2.206318,-2.876872
-2.203933,-2.874828
-2.201560,-2.842511
-2.199199,-2.842511
-2.196850,-2.842511
-2.194514,-2.842511
-2.192189,-2.842511
-2.189877,-2.842511
-2.187576,-2.842511
-2.185286,-2.842511
-2.183008,-2.842511
-2.180741,-2.842511
-2.178485,-2.842511
-2.176241,-2.842511
-2.174007,-2.821770
-2.171784,-2.812648
-2.169571,-2.797951
-2.167370,-2.776190
-2.165178,-2.776190
-2.162997,-2.726707
-2.160827,-2.712891
-2.158666,-2.712891
-2.156516,-2.688371
-2.154375,-2.688371
-2.152244,-2.683751
-2.150123,-2.672269
-2.148012,-2.672269
-2.145910,-2.652411
-2.143817,-2.640636
-2.141734,-2.637709
-2.139660,-2.627307
-2.137596,-2.623169
-2.135540,-2.594565
-2.133493,-2.594565
-2.131456,-2.594565
-2.129427,-2.594565
-2.127406,-2.594565
-2.125395,-2.594565
-2.123392,-2.594565
-2.121397,-2.594565
-2.119411,-2.594565
-2.117433,-2.594565
-2.115464,-2.594565
-2.113503,-2.569657
-2.111549,-2.539185
-2.109604,-2.539185
-2.107667,-2.539185
-2.105737,-2.531466
-2.103816,-2.521246
-2.101902,-2.521246
-2.099996,-2.521246
